Fecha;Hora;Voltaje;Corriente;Potencia;
26/10/2023;0:00:00;123.75;23.23;2874.21;
26/10/2023;0:05:00;123.69;27.8;3438.49;
26/10/2023;0:10:00;123.95;17.35;2151.09;
26/10/2023;0:15:00;124.22;18.24;2266.21;
26/10/2023;0:20:00;123.98;26.19;3247.08;
26/10/2023;0:25:00;123.98;26.19;3247.08;
26/10/2023;0:30:00;123.82;18.26;2260.77;
26/10/2023;0:35:00;124.13;19.08;2368.2;
26/10/2023;0:40:00;124.42;17.88;2224.1;
26/10/2023;0:45:00;124.36;18.08;2247.76;
26/10/2023;0:50:00;124.91;18.16;2268.86;
26/10/2023;0:55:00;123.95;18.98;2352.85;
26/10/2023;1:00:00;123.95;19.71;2442.58;
26/10/2023;1:05:00;124.4;19.65;2444.08;
26/10/2023;1:10:00;124.11;19.83;2461.67;
26/10/2023;1:15:00;125.02;19.26;2407.55;
26/10/2023;1:20:00;124.87;18.32;2287.2;
26/10/2023;1:25:00;124.64;19.01;2369.38;
26/10/2023;1:30:00;124.36;25.45;3165.34;
26/10/2023;1:35:00;125.09;17.41;2178.29;
26/10/2023;1:40:00;125.09;17.41;2178.29;
26/10/2023;1:45:00;124.71;17.45;2176.52;
26/10/2023;1:50:00;125.09;18.85;2358.37;
26/10/2023;1:55:00;124.55;21.4;2664.89;
26/10/2023;2:00:00;124.55;19.99;2489.61;
26/10/2023;2:05:00;124.95;21.25;2655.09;
26/10/2023;2:10:00;124.15;21.59;2680.65;
26/10/2023;2:15:00;125.06;20.19;2524.66;
26/10/2023;2:20:00;125.02;21.94;2743.03;
26/10/2023;2:25:00;124.8;22.85;2851.79;
26/10/2023;2:30:00;124.87;19.63;2451.16;
26/10/2023;2:35:00;124.93;19.89;2485.4;
26/10/2023;2:40:00;125.24;16.29;2040.04;
26/10/2023;2:45:00;125.24;16.29;2040.04;
26/10/2023;2:50:00;124.93;16.87;2107.86;
26/10/2023;2:55:00;125.46;16.12;2022.29;
26/10/2023;3:00:00;125.11;16.69;2088.19;
26/10/2023;3:05:00;123.06;23.17;2850.79;
26/10/2023;3:10:00;124.67;15.28;1904.64;
26/10/2023;3:15:00;125.09;15.39;1925.26;
26/10/2023;3:20:00;125.28;15.94;1996.77;
26/10/2023;3:25:00;125.31;17.17;2151.9;
26/10/2023;3:30:00;126.14;16.51;2082.69;
26/10/2023;3:35:00;125.53;15.41;1934.97;
26/10/2023;3:40:00;125.42;16.19;2030.07;
26/10/2023;3:45:00;125.22;16.06;2010.42;
26/10/2023;3:50:00;125.46;17.27;2166.59;
26/10/2023;3:55:00;125.2;22.93;2870.47;
26/10/2023;4:00:00;125.2;22.93;2870.47;
26/10/2023;4:05:00;125.57;16.46;2066.53;
26/10/2023;4:10:00;125.31;16.09;2016.49;
26/10/2023;4:15:00;125.26;16.43;2058.3;
26/10/2023;4:20:00;124.4;15.85;1971.54;
26/10/2023;4:25:00;124.6;17.75;2211.51;
26/10/2023;4:30:00;124.75;15.88;1980.82;
26/10/2023;4:35:00;124.29;19.34;2403.74;
26/10/2023;4:40:00;124.44;22.49;2799.25;
26/10/2023;4:45:00;124.4;21.36;2656.97;
26/10/2023;4:50:00;123.46;22.71;2804.29;
26/10/2023;4:55:00;123.22;30.63;3774.56;
26/10/2023;5:00:00;123.13;21.84;2689.56;
26/10/2023;5:05:00;123.13;21.84;2689.56;
26/10/2023;5:10:00;123.19;28.39;3497.29;
26/10/2023;5:15:00;123.06;20.21;2487.01;
26/10/2023;5:20:00;123.01;20.23;2488.43;
26/10/2023;5:25:00;122.23;17.05;2083.99;
26/10/2023;5:30:00;124.71;17.46;2177.86;
26/10/2023;5:35:00;124.27;19.44;2416.31;
26/10/2023;5:40:00;124.13;18.2;2258.64;
26/10/2023;5:45:00;123.66;18.62;2302.06;
