Fecha, Voltaje, Corriente, Potencia, Energía, Frecuencia, Factor de Potencia 
2023/6/20 (Martes) 12:35:0, 120.30, 53.47, 6063.90, 0.04, 60.00, 0.94
2023/6/20 (Martes) 12:40:0, 120.80, 51.40, 5871.90, 0.55, 59.90, 0.95
2023/6/20 (Martes) 12:45:0, 120.80, 55.43, 6386.30, 1.06, 60.00, 0.95
2023/6/20 (Martes) 12:50:0, 120.00, 57.33, 6544.60, 1.61, 60.00, 0.95
2023/6/20 (Martes) 12:55:0, 120.70, 51.84, 5907.60, 2.17, 59.90, 0.94
2023/6/20 (Martes) 13:0:0, 122.00, 58.20, 6762.70, 2.71, 60.00, 0.95
2023/6/20 (Martes) 13:5:0, 123.80, 44.19, 5093.90, 3.19, 59.90, 0.93
2023/6/20 (Martes) 13:10:0, 123.40, 43.98, 5013.50, 3.62, 59.90, 0.92
2023/6/20 (Martes) 13:15:0, 122.90, 48.25, 5429.80, 4.06, 60.00, 0.92
2023/6/20 (Martes) 13:20:0, 123.30, 47.30, 5409.00, 4.52, 59.90, 0.93
2023/6/20 (Martes) 13:25:0, 123.30, 47.64, 5410.30, 4.97, 59.90, 0.92
2023/6/20 (Martes) 13:30:0, 123.70, 44.05, 5010.40, 5.40, 60.00, 0.92
2023/6/20 (Martes) 13:35:0, 121.20, 58.49, 6748.70, 5.90, 59.90, 0.95
2023/6/20 (Martes) 13:40:0, 123.30, 50.91, 5887.40, 6.40, 60.00, 0.94
2023/6/20 (Martes) 13:45:0, 122.90, 51.92, 6002.60, 6.91, 60.00, 0.94
2023/6/20 (Martes) 13:50:0, 122.90, 54.99, 6468.70, 7.42, 60.00, 0.96
2023/6/20 (Martes) 13:55:0, 123.00, 50.32, 5843.50, 7.92, 60.00, 0.94
2023/6/20 (Martes) 14:0:0, 123.40, 51.29, 5936.00, 8.43, 60.00, 0.94
2023/6/20 (Martes) 14:5:0, 122.50, 56.95, 6558.10, 8.98, 60.00, 0.94
2023/6/20 (Martes) 14:10:0, 123.10, 52.30, 6016.40, 9.49, 59.90, 0.93
2023/6/20 (Martes) 14:15:0, 122.40, 58.82, 6818.60, 10.07, 59.90, 0.95
2023/6/20 (Martes) 14:20:0, 122.30, 65.75, 7684.50, 10.68, 59.90, 0.96
2023/6/20 (Martes) 14:25:0, 123.20, 53.62, 6180.30, 11.24, 60.00, 0.94
2023/6/20 (Martes) 14:30:0, 123.30, 57.94, 6647.60, 11.77, 60.00, 0.93
